STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
723240,13882,20110127,35.1,24,24.7,24,1018.9,24,993.5,24,9.9,24,3.4,24,9.9,999.9,50,28, 0.29G,999.9,0
723240,13882,20110128,44.7,24,29.6,24,1013.2,24,988.1,24,10,24,4.1,24,8,999.9,55.9,28.2, 0.00G,999.9,0
723240,13882,20110129,43.9,24,30.3,24,1016.3,24,991.1,24,10,24,2,24,8,999.9,68,28.9, 0.00G,999.9,0
723240,13882,20110130,48.3,24,37.7,24,1017.9,24,992.8,24,10,24,2.2,24,11.1,999.9,68,29.1, 0.00G,999.9,0
723240,13882,20110131,53.4,24,47,24,1019.5,20,994.5,24,9.5,24,2.4,24,12,17.1,68,34, 0.00G,999.9,0
723240,13882,20110201,48.5,24,42.5,24,1018,22,992.3,24,7.1,24,6.5,24,18.1,25.1,62.1,46, 0.00G,999.9,10000
723240,13882,20110202,42.4,24,32.4,24,1020,17,991.4,24,8.6,24,10,24,18.1,28,55.9,32, 0.64G,999.9,10000
723240,13882,20110203,29.6,24,15.3,24,1030.6,24,1004.8,24,10,24,10.3,24,15.9,22.9,   35.1*,  24.1*, 0.00G,999.9,0
723240,13882,20110204,34.8,24,25.7,24,1025.1,23,999.9,24,7.4,24,3.1,24,8.9,999.9,36,24.3, 0.00G,999.9,11000
723240,13882,20110205,38.7,24,33.9,24,1012,15,987,24,5.8,24,6.2,24,17.1,22.9,   44.6*,  35.6*, 0.46G,999.9,10000
723240,13882,20110206,39.8,24,27.1,24,1016.3,24,991.1,24,10,24,2.8,24,7,999.9,54,32, 0.01G,999.9,0
723240,13882,20110207,40.3,24,31.8,24,1013.6,24,988.4,24,9.7,24,2.6,24,15.9,31.1,54,30, 0.00G,999.9,10000
723240,13882,20110208,35.6,24,22.3,24,1021.3,23,995.8,24,9.9,24,10.1,24,15,31.1,51.1,30, 0.05G,999.9,0
723240,13882,20110209,32,24,16.9,24,1024.8,22,998.9,23,10,24,5.2,24,13,18.1,45,25, 0.00G,999.9,0
723240,13882,20110210,32,24,22.2,24,1021.5,22,995.8,24,7.9,24,7.9,24,13,999.9,45,25, 0.05G,1.2,101000
723240,13882,20110211,32.2,24,13.5,24,1022.8,24,997.2,24,10,24,2.9,24,9.9,999.9,46,21, 0.00G,1.2,0
723240,13882,20110212,37.5,24,14.4,24,1025.6,24,1000.1,24,10,24,3.7,24,9.9,999.9,54,21, 0.00G,999.9,0
723240,13882,20110213,42.7,24,24.4,24,1025.2,24,999.7,24,10,24,3.8,24,14,19,64.9,26.1, 0.00G,999.9,0
723240,13882,20110214,54.5,24,24.1,24,1020,24,995,24,10,24,6.8,24,13,22,   68.0*,  43.0*, 0.00G,999.9,0
723240,13882,20110215,49.7,24,29,24,1025.2,24,1000.1,24,10,24,6.1,24,11.1,999.9,69.1,39, 0.00G,999.9,0
723240,13882,20110216,51.4,24,31.6,24,1025.3,24,1000.1,24,10,24,2.7,24,8.9,999.9,64,39, 0.00G,999.9,0
723240,13882,20110217,51.1,24,39.1,24,1022.3,24,997.2,24,9.5,24,3.4,24,13,21,72,35.1, 0.00G,999.9,0
723240,13882,20110218,59.4,24,47.2,24,1020.9,21,996.2,24,9.8,24,4.1,24,8.9,15,72,37, 0.00G,999.9,0
723240,13882,20110219,58.8,24,35.8,24,1024.1,23,999.2,24,9.8,24,6.1,24,14,17.1,68,48, 0.01G,999.9,0
723240,13882,20110220,56.2,24,20.4,24,1021.5,24,996.6,24,10,24,4.5,24,13,20,66.9,46.9, 0.00G,999.9,0
723240,13882,20110221,60.9,24,42.8,24,1012.1,24,987.5,24,10,24,8.5,24,19,31.1,71.1,46.9, 0.00G,999.9,0
723240,13882,20110222,60.1,24,43.6,24,1014.1,21,989,24,9.9,24,7.7,24,15.9,22,71.1,50, 0.01G,999.9,10000
723240,13882,20110223,49.1,24,31.5,24,1022.3,24,997.2,24,10,24,3.8,24,11.1,999.9,66.9,35.1, 0.00I,999.9,0
723240,13882,20110224,60.3,24,42.3,24,1017.8,24,993,24,9.4,24,7.1,24,13,19,   72.0*,  54.0*, 0.01G,999.9,10000
723240,13882,20110225,59.8,24,47.5,24,1010.9,22,985.9,24,9.2,24,12.2,24,28.9,44.1,73,45, 0.50G,999.9,10010
723240,13882,20110226,45.2,24,32.2,24,1019.5,24,994.4,24,10,24,6.2,24,11.1,15,68,30.9, 0.00I,999.9,0
723240,13882,20110227,57,24,45.7,24,1015.1,24,990.4,24,9.7,24,4.6,24,17.1,22,73.9,31.1, 0.00G,999.9,0
723240,13882,20110228,67.7,24,58.6,24,1010.7,18,986.1,24,9.4,24,10.5,24,21,46,   75.2*,  60.1*, 0.00G,999.9,110010
723240,13882,20110301,50.6,24,37.5,24,1021.4,24,996.4,24,9.8,24,8.5,24,20,24.1,75.9,37.9, 0.51G,999.9,0
723240,13882,20110302,50.4,24,35.9,24,1024.5,24,999.3,24,9.7,24,0.8,24,4.1,999.9,69.1,36, 0.00G,999.9,100000
723240,13882,20110303,54.4,24,34.3,24,1025.1,24,1000,24,10,24,4.5,24,14,24.1,69.1,37, 0.00G,999.9,0
723240,13882,20110304,56.8,24,34.1,24,1025.9,24,1001,24,10,24,9.4,24,14,22,66.9,39, 0.00G,999.9,0
723240,13882,20110305,53,24,47.4,24,1021.8,18,996.2,24,7.5,24,6.6,24,13,22,63,48.9, 0.07G,999.9,10000
723240,13882,20110306,45.4,24,41.4,24,1017.1,15,990.9,24,7,24,8.7,24,15.9,21,   57.0*,  39.2*, 2.98G,999.9,10000
723240,13882,20110307,42.1,24,30.4,24,1020.9,24,995.6,24,10,24,8,24,12,21,54,37, 0.71G,999.9,0
723240,13882,20110308,47.3,24,34.3,24,1022.8,24,997.6,24,9.6,24,3.8,24,14,19,57,37, 0.00G,999.9,10000
723240,13882,20110309,51.7,24,48.1,24,1018.1,15,992.4,24,5.7,24,5.1,24,22,33,59,39.9, 1.80G,999.9,10010
723240,13882,20110310,48.3,24,42.8,24,1015.6,21,990.2,24,8.6,24,7,24,14,20,59,41, 2.03G,999.9,10000
723240,13882,20110311,43.1,24,27.7,24,1021.6,24,996.4,24,9.6,24,7.3,24,11.1,15.9,55,37.9, 0.03G,999.9,10000
723240,13882,20110312,49.7,24,31.6,24,1021.1,24,996,24,10,24,3.5,24,13,22,72,34, 0.00G,999.9,0
723240,13882,20110313,57.7,24,40.9,24,1021.1,24,996.2,24,10,24,3,24,8,999.9,72,34, 0.00G,999.9,0
723240,13882,20110314,58,24,47,24,1020.8,24,996,24,10,24,2.4,24,7,999.9,72,42.1, 0.00G,999.9,0
723240,13882,20110315,54.7,24,48.5,24,1019,20,994,24,7.4,24,7.4,24,14,15.9,68,51.1, 0.58G,999.9,10010
723240,13882,20110316,50,24,39.2,24,1023.5,23,998.5,24,10,24,3.2,24,8,999.9,60.1,45, 0.04G,999.9,0
723240,13882,20110317,52.3,24,39.6,24,1025.2,23,1000.3,24,8.9,24,2.1,24,11.1,17.1,   75.9*,  37.4*, 0.00G,999.9,100000
723240,13882,20110318,64.5,24,45.1,24,1022.2,24,997.4,24,10,24,3.5,24,13,18.1,82,37.9, 0.00G,999.9,0
723240,13882,20110319,65.9,24,51.4,24,1022.4,24,997.7,24,10,24,4.6,24,11.1,999.9,82,46.9, 0.00G,999.9,0
723240,13882,20110320,63.6,24,43.5,24,1025.7,24,1000.9,24,10,24,4.7,24,12,21,75.9,51.1, 0.00G,999.9,0
723240,13882,20110321,66.2,24,49.9,24,1024.5,23,1000.2,24,10,24,7,24,12,15,80.1,51.1, 0.00G,999.9,0
723240,13882,20110322,67.8,24,49.4,24,1017.9,24,993.4,24,9.9,24,5.1,24,14,19,82.9,53.1, 0.00G,999.9,0
723240,13882,20110323,68.2,24,53.3,24,1009.4,24,985.1,24,9.9,24,8.7,24,19,28,82.9,53.1, 0.00G,999.9,10000
723240,13882,20110324,55.9,24,40.2,24,1011.2,24,986.2,24,9.4,24,9,24,18.1,24.1,73,48, 0.25G,999.9,10000
723240,13882,20110325,47.8,24,32.6,24,1016.6,24,991.6,24,10,24,4.8,24,11.1,999.9,63,37, 0.00G,999.9,0
723240,13882,20110326,48.8,24,42.7,24,1011.8,15,986.9,24,5.6,24,4.3,24,11.1,999.9,59,37, 0.66G,999.9,110010
723240,13882,20110327,49.7,24,45.2,24,1011.5,15,985.5,24,6.4,24,5.4,24,11.1,999.9,52,46, 2.39G,999.9,10010
723240,13882,20110328,46.3,24,40.3,24,1016.1,19,990.7,24,6.7,24,6.4,24,11.1,18.1,55,42.1, 0.50G,999.9,10010
723240,13882,20110329,47.5,24,41.3,24,1019.6,24,994.5,24,8.2,24,2.5,24,8,999.9,   55.9*,  39.2*, 0.02G,999.9,100000
723240,13882,20110330,53.6,24,50.3,24,1012.5,19,987.8,24,5.4,24,2.8,24,8.9,999.9,   57.2*,  51.1*, 0.41G,999.9,10010
723240,13882,20110331,45.4,24,38.5,24,1008.8,20,984.2,24,9.3,24,6.2,24,9.9,999.9,57,42.1, 0.01G,999.9,0
723240,13882,20110401,46.5,24,36.2,24,1008.8,24,983.9,24,9,24,3.3,24,11.1,14,57.9,37.9, 0.00G,999.9,0
723240,13882,20110402,54.2,24,33.4,24,1013.5,24,988.6,24,10,24,6.2,24,17.1,26,69.1,37.9, 0.00G,999.9,0
723240,13882,20110403,57.5,24,34.8,24,1017.4,24,992.6,24,10,24,4,24,15,24.1,80.1,39, 0.00G,999.9,0
723240,13882,20110404,68.8,24,50.9,24,1009.4,24,985.2,24,9.7,24,11.2,24,28,42.9,   79.0*,  62.1*, 0.00G,999.9,10010
723240,13882,20110405,52.8,24,36.1,24,1012.5,20,985.6,24,8.4,24,9.8,24,22,27,79,43, 2.12G,999.9,10010
723240,13882,20110406,51.8,24,30,24,1019.5,24,994.5,24,10,24,4.7,24,15.9,22.9,73.9,36, 0.00G,999.9,0
723240,13882,20110407,60.2,24,41.5,24,1017.4,24,992.7,24,10,24,4.1,24,9.9,999.9,73.9,36, 0.00G,999.9,0
723240,13882,20110408,68,24,57.2,24,1015,24,990.6,24,9.9,24,3.2,24,8.9,999.9,84,44.1, 0.00G,999.9,10000
723240,13882,20110409,74.8,24,61.6,24,1016,24,991.8,24,9.9,24,5.1,24,14,19,88,57.9, 0.00G,999.9,0
723240,13882,20110410,74.3,24,58.5,24,1016.4,24,992,24,10,24,4.5,24,15,24.1,88,60.1, 0.00G,999.9,0
723240,13882,20110411,73.8,24,58.5,24,1012.2,24,988.5,24,10,24,7.8,24,18.1,22.9,86,60.1, 0.00G,999.9,0
723240,13882,20110412,63.8,24,48.8,24,1009.8,21,984.7,24,9.4,24,10.5,24,17.1,31.1,   80.6*,  55.4*, 0.67G,999.9,10010
723240,13882,20110413,59.1,24,41.1,24,1016.7,24,992,24,10,24,3.2,24,8,14,75,44.1, 0.17G,999.9,0
723240,13882,20110414,60.5,24,42.4,24,1016.5,24,991.8,24,10,24,2,24,6,999.9,77,44.1, 0.00G,999.9,0
723240,13882,20110415,60.2,24,51.3,24,1013.7,19,988.4,24,7.6,24,3,24,9.9,18.1,77,46, 0.00G,999.9,10010
723240,13882,20110416,57.8,24,47.3,24,1007.6,22,982.7,24,8.4,24,9.7,24,15.9,26,66.9,51.1, 3.27G,999.9,10010
723240,13882,20110417,54.2,24,37.2,24,1017.3,24,992.4,24,10,24,4.2,24,11.1,15,72,39, 0.14G,999.9,0
723240,13882,20110418,62.1,24,42.5,24,1015.6,24,990.9,24,10,24,4.1,24,14,19,79,39, 0.00G,999.9,0
723240,13882,20110419,72.2,24,51.3,24,1014.4,24,990.1,24,10,24,7.1,24,15,21,   84.0*,  64.4*, 0.00G,999.9,0
723240,13882,20110420,72,24,58.1,24,1016.1,21,991.7,24,9.9,24,5.2,24,15,25.1,84,62.1, 0.33G,999.9,10010
723240,13882,20110421,66.8,24,57.2,24,1020.6,20,996.2,24,8.9,24,5.3,24,13,15.9,79,59, 0.89G,999.9,10010
723240,13882,20110422,66.9,24,57.2,24,1018.5,22,994,24,10,24,5.1,24,14,22,79,59, 0.51G,999.9,0
723240,13882,20110423,67.7,24,57.6,24,1018.4,22,993.9,24,9.3,24,8.5,24,13,21,81,59, 0.00G,999.9,0
723240,13882,20110424,72.5,24,58.3,24,1018.4,24,994.2,24,10,24,4.4,24,12,20,84,61, 0.00G,999.9,0
723240,13882,20110425,72.1,24,58.2,24,1015.2,24,990.8,24,10,24,5,24,17.1,25.1,84.9,59, 0.00G,999.9,0
723240,13882,20110426,73.3,24,62.2,24,1009.5,24,985.5,24,9.9,24,8.7,24,14,26,84.9,59, 0.00G,999.9,10000
723240,13882,20110427,72.3,24,64.2,24,1006.8,14,981.2,24,9.2,24,6.9,24,40,60,   78.8*,  66.2*, 0.07G,999.9,111110
723240,13882,20110428,65.2,24,51.8,24,1012.3,18,986.1,24,9.2,24,8.5,24,20,35.9,79,57, 1.49G,999.9,10010
723240,13882,20110429,61.8,24,44.2,24,1016.9,24,992.2,24,10,24,3,24,9.9,14,77,48, 0.00G,999.9,0
723240,13882,20110430,64.2,24,47.4,24,1017.2,24,992.6,24,10,24,2.5,24,11.1,22,81,48, 0.00G,999.9,0
723240,13882,20110501,68.4,24,53.6,24,1018.6,24,994.2,24,10,24,3,24,8,999.9,81,52, 0.00G,999.9,0
723240,13882,20110502,71.8,24,58.5,24,1019.4,24,995,24,10,24,4.3,24,13,18.1,82.9,57, 0.00G,999.9,0
723240,13882,20110503,66.3,24,56.6,24,1018,22,993.5,24,8.3,24,6.9,24,20,28,82.9,50, 0.00G,999.9,10000
723240,13882,20110504,52.5,24,41.3,24,1025.1,21,1000,24,9.5,24,6,24,15,21,73,44.1, 0.87G,999.9,10000
723240,13882,20110505,54.1,24,37.4,24,1025.5,24,1000.8,24,10,24,4.8,24,12,999.9,68,41, 0.00G,999.9,0
723240,13882,20110506,58.7,24,44.1,24,1017.2,24,992.5,24,10,24,3,24,9.9,15,73,41, 0.00G,999.9,0
723240,13882,20110507,61.7,24,48,24,1015.7,24,991.1,24,10,24,2.4,24,8,999.9,75.9,46.9, 0.00G,999.9,0
723240,13882,20110508,69.3,24,55.8,24,1013,24,988.6,24,10,24,3,24,8.9,999.9,84,48, 0.00G,999.9,0
723240,13882,20110509,74.1,24,61.9,24,1013.6,24,989.3,24,9,24,1.1,24,5.1,999.9,86,57.9, 0.00G,999.9,0
723240,13882,20110510,76.5,24,63.8,24,1013,24,988.8,24,8.2,24,2.3,24,8.9,14,89.1,62.1, 0.00G,999.9,100000
723240,13882,20110511,77.9,24,63.6,24,1013.7,24,989.6,24,9.7,24,2.6,24,7,999.9,91,62.1, 0.00G,999.9,0
723240,13882,20110512,76.6,24,62,24,1014.3,24,990.1,24,10,24,1.8,24,11.1,999.9,91,63, 0.00G,999.9,10010
723240,13882,20110513,70.2,24,64.8,24,1011.2,20,986.7,24,9.2,24,1.7,24,8,999.9,89.1,63, 0.00G,999.9,10010
723240,13882,20110514,67.1,24,59.9,24,1005.8,22,981.6,24,8.1,24,4.5,24,15,19,   73.9*,  62.6*, 0.36G,999.9,0
723240,13882,20110515,60,24,50.5,24,1006.8,20,982.4,24,10,24,7.2,24,11.1,15.9,75,57, 0.00G,999.9,0
723240,13882,20110516,58.4,24,49.1,24,1007.4,19,982.9,24,10,24,5.4,24,13,18.1,64.9,55, 0.00G,999.9,10000
723240,13882,20110517,54.2,24,42.5,24,1008.7,24,984.1,24,10,24,9.7,24,14,21,64.9,46.9, 0.03G,999.9,0
723240,13882,20110518,54,24,44.2,24,1010.7,24,986,24,10,24,2.9,24,7,999.9,64,44.1, 0.00G,999.9,0
723240,13882,20110519,63.5,24,50.5,24,1016.3,24,991.6,24,10,24,1.2,24,7,999.9,78.1,44.1, 0.00G,999.9,0
723240,13882,20110520,70,24,55.3,24,1017.9,24,993.4,24,10,24,1.8,24,8.9,999.9,84.9,55, 0.00G,999.9,0
723240,13882,20110521,73.4,24,59.2,24,1015.8,24,991.4,24,10,24,3.5,24,11.1,999.9,89.1,57.9, 0.00G,999.9,0
723240,13882,20110522,78.2,24,62.4,24,1015.5,24,991.3,24,10,24,3.3,24,15.9,25.1,91.9,59, 0.00G,999.9,0
723240,13882,20110523,76.5,24,64.3,24,1014.5,22,990.3,24,9.1,24,3.9,24,12,17.1,91.9,64, 0.01G,999.9,100000
723240,13882,20110524,79.3,24,61.8,24,1013.6,24,989.5,24,9.9,24,6.8,24,13,20,89.1,64.9, 0.00G,999.9,0
723240,13882,20110525,78.4,24,60.9,24,1012.2,24,988.1,24,9.7,24,6.2,24,15.9,22.9,91.9,64.9, 0.00G,999.9,0
723240,13882,20110526,73.2,24,61.8,24,1009.7,17,985.8,24,10,24,5.6,24,19,34,91.9,64, 0.05G,999.9,11110
723240,13882,20110527,69.7,24,61.1,24,1011.7,16,987.5,24,6.9,24,3.1,24,8.9,999.9,81,64, 0.30G,999.9,0
723240,13882,20110528,71.9,24,58.7,24,1012.9,22,988.8,24,9.6,24,2.3,24,8.9,999.9,87.1,57.9, 0.00G,999.9,100000
723240,13882,20110529,77.8,24,62.7,24,1016.2,24,992,24,10,24,3.4,24,9.9,15.9,93,57.9, 0.00G,999.9,0
723240,13882,20110530,81.4,24,66.3,24,1020.3,24,996.1,24,9.6,24,1.4,24,6,999.9,93.9,64, 0.00G,999.9,0
723240,13882,20110531,82.9,24,65.9,24,1022.5,24,998.2,24,9.9,24,2,24,8,999.9,96.1,70, 0.00G,999.9,0
723240,13882,20110601,84.6,24,68.3,24,1021.9,24,997.6,24,9.7,24,4.1,24,12,15.9,97,73, 0.00G,999.9,0
723240,13882,20110602,83.9,24,68,24,1018.9,24,994.7,24,9.5,24,2.8,24,9.9,999.9,97,71.1, 0.00G,999.9,0
723240,13882,20110603,84.2,24,65.5,24,1017.8,24,993.7,24,10,24,3.4,24,11.1,15.9,97,71.1, 0.00G,999.9,0
723240,13882,20110604,82.4,24,63.3,24,1019.4,24,995.2,24,10,24,3.1,24,8.9,15,96.1,68, 0.00G,999.9,0
723240,13882,20110605,81.8,24,65,24,1017.9,24,993.7,24,9.6,24,2.9,24,22.9,34,98.1,68, 0.00G,999.9,0
723240,13882,20110606,79.1,24,64.2,24,1015.6,24,991.4,24,10,24,3.5,24,8.9,999.9,98.1,66, 0.00G,999.9,0
723240,13882,20110607,82,24,63.9,24,1015.5,24,991.4,24,10,24,2.4,24,8,999.9,95,66, 0.00G,999.9,0
723240,13882,20110608,83,24,63.6,24,1016.1,24,992,24,10,24,2.6,24,7,999.9,96.1,69.1, 0.00G,999.9,0
723240,13882,20110609,80.6,24,67.5,24,1015.9,24,991.8,24,9.4,24,1.6,24,9.9,19,97,70, 0.00G,999.9,10010
723240,13882,20110610,79.2,24,64.1,24,1015.1,23,991,24,9.8,24,2.3,24,8.9,999.9,97,66.9, 0.15G,999.9,10010
723240,13882,20110611,81.5,24,66,24,1013.4,24,989.3,24,9.9,24,2.4,24,8,15.9,95,66.9, 0.00G,999.9,10010
723240,13882,20110612,79.9,24,63.8,24,1012.9,24,988.8,24,10,24,3.7,24,12,17.1,95,68, 0.00G,999.9,0
723240,13882,20110613,82.1,24,62.4,24,1013.8,24,989.9,24,9.7,24,4.6,24,13,18.1,95,68, 0.00G,999.9,0
723240,13882,20110614,78.5,24,57.1,24,1014.5,24,990.4,24,10,24,6.2,24,11.1,999.9,93,68, 0.00G,999.9,0
723240,13882,20110615,74.6,24,61,24,1012.7,20,988.3,24,9.4,24,4.8,24,22,35.9,88,66, 0.00G,999.9,10110
723240,13882,20110616,72.8,24,62.9,24,1012.9,22,988.6,24,8.9,24,3.7,24,9.9,17.1,91,63, 1.50G,999.9,110010
723240,13882,20110617,76.1,24,62.9,24,1014.2,24,990,24,10,24,2.8,24,8,14,91,63, 0.00G,999.9,10000
723240,13882,20110618,74.8,24,67,24,1015.1,22,991.2,24,9,24,4.3,24,29.9,44.1,89.1,68, 0.00G,999.9,10010
723240,13882,20110619,76.4,24,66.5,24,1012.8,22,988.7,24,9.6,24,4.1,24,12,15.9,93,66, 0.40G,999.9,100000
723240,13882,20110620,82.9,24,67.5,24,1012.2,24,988.2,24,10,24,2.7,24,8.9,14,95,66, 0.00G,999.9,0
723240,13882,20110621,83.1,24,66.9,24,1013.1,23,989.1,24,9.6,24,4.7,24,26,49,95,70, 0.00G,999.9,10010
723240,13882,20110622,73.9,24,68.5,24,1014.2,19,990.1,24,8.1,24,4.8,24,14,24.1,93,69.1, 0.21G,999.9,110010
723240,13882,20110623,74.6,24,69.1,24,1012.7,22,988.7,24,9,24,5.3,24,8.9,999.9,86,69.1, 0.50G,999.9,10000
723240,13882,20110624,76.9,24,69.3,24,1010.9,20,987,24,9.7,24,6.8,24,22.9,34,88,69.1, 0.00G,999.9,10010
723240,13882,20110625,73.3,24,65.8,24,1013.9,18,989.7,24,6.8,24,1.9,24,7,999.9,88,66, 0.59G,999.9,100000
723240,13882,20110626,75.9,24,68.3,24,1014.8,21,990.6,24,10,24,2.1,24,21,28.9,88,66, 0.00G,999.9,110010
723240,13882,20110627,76.3,24,67.5,24,1015.7,24,991.4,24,8.9,24,2.7,24,9.9,15,93.9,66, 0.49G,999.9,110000
723240,13882,20110628,77.6,24,69.1,24,1016,24,991.9,24,9.7,24,4,24,13,21,93.9,66, 0.00G,999.9,10000
723240,13882,20110629,77.3,24,65.3,24,1016.5,24,992.2,24,9.9,24,3.6,24,8.9,999.9,88,68, 0.11G,999.9,0
723240,13882,20110630,77.7,24,60.5,24,1016,24,991.8,24,10,24,3.5,24,11.1,999.9,91,64.9, 0.00G,999.9,0
723240,13882,20110701,79.3,24,59,24,1016.3,24,992.1,24,10,24,2.5,24,6,999.9,93,64.9, 0.00G,999.9,0
723240,13882,20110702,81.2,24,62.8,24,1017.2,24,993,24,10,24,1.8,24,6,999.9,95,64.9, 0.00G,999.9,0
723240,13882,20110703,82.9,24,66.2,24,1015.3,24,991.2,24,10,24,1.2,24,5.1,999.9,96.1,68, 0.00G,999.9,0
723240,13882,20110704,82.1,24,68.9,24,1014,24,989.9,24,10,24,2.9,24,14,22.9,96.1,71.1, 0.00G,999.9,0
723240,13882,20110705,79,24,67.8,24,1014.7,24,990.6,24,9.7,24,1.7,24,7,999.9,93.9,70, 0.00G,999.9,0
723240,13882,20110706,79.3,24,67.9,24,1015.1,23,991.1,24,9.7,24,2.5,24,26,35.9,90,70, 0.00G,999.9,10010
723240,13882,20110707,79.5,24,70.4,24,1014.2,23,990.3,24,9.7,24,2.5,24,11.1,999.9,91,71.1, 0.47G,999.9,10010
723240,13882,20110708,79.9,24,70,24,1010.4,24,986.4,24,9.4,24,3.1,24,8.9,17.1,91,72, 0.00G,999.9,0
723240,13882,20110709,83.2,24,72.3,24,1010.4,21,986.7,24,9.1,24,2.3,24,6,999.9,95,72, 0.01G,999.9,10000
723240,13882,20110710,80.9,24,73.2,24,1014.4,24,990.2,24,9.6,24,2.5,24,13,999.9,95,75, 0.27G,999.9,110000
723240,13882,20110711,82,24,71.8,24,1015.8,24,991.7,24,9.8,24,1.2,24,7,999.9,99,73, 0.00G,999.9,0
723240,13882,20110712,85.4,24,75.7,24,1014.4,22,990.6,24,8.6,24,2.6,24,9.9,15.9,99,73, 0.00G,999.9,10010
723240,13882,20110713,81.9,24,71.8,24,1012.9,23,988.9,24,10,24,1.5,24,15.9,25.1,93.9,75, 0.00G,999.9,10010
723240,13882,20110714,83.1,24,71.6,24,1011.4,23,987.4,24,9.9,24,2.8,24,13,15.9,   93.2*,  71.6*, 0.06G,999.9,110010
723240,13882,20110715,76.6,24,70.9,24,1013,14,989.2,24,7.6,24,3.4,24,9.9,17.1,93.9,72, 2.27G,999.9,10010
